Name,Description,Link,City,Zip,Member Count,Topic Category,Topics,Past Events
Boston LGBTQ+ Event Postings,"This meetup group was formerly run by Boston Pride. It is now run by the [""Non-Scene"" Friends](http:",https://www.meetup.com/lgbtqevent,Boston,02116,3420,Identity & Language,"LGBTQ, Transgender, Clubbing, Dinner and a Movie, Make New Friends, Social Networking, Gay and Lesbian Friends, Karaoke, Bars & Pubs","The Holiday Event: ugly sweater fundraising party!! (ID: 218680448, Date: 2014-12-17T18:00-05:00); The Holiday Event: ugly sweater fundraising party! (ID: 218820046, Date: 2014-12-17T18:00-05:00); March in the First Night parade! (ID: 219358871, Date: 2014-12-31T18:00-05:00)"
Women Travel Abroad Boston,"**Welcome to WOMEN TRAVEL ABROAD (WTA)!**

We are thrilled that you've discovered our exclusive and ",https://www.meetup.com/women-travel-abroad-boston,Boston,02116,165,Travel & Outdoor,"Travel, Singles, Vacations, International Travel, Travel Companions, Women Who Travel, Women Solo Travel, Singles Who Travel, Single Women Travel, Weekend Adventures, Professional Women, Solo Travelers, Adventure Travel, Soul Travel, Seniors","Join WTA on Zoom! Let's Talk Travel!  (ID: 295333746, Date: 2023-08-12T12:00-04:00); Join WTA Tomorrow on Zoom! Let's Talk Travel! ✈️ (ID: 295530947, Date: 2023-08-19T12:00-04:00); Join WTA Tomorrow on Zoom! Let's Talk Travel! ✈️ (ID: 295680519, Date: 2023-08-26T12:00-04:00)"
Boston Art Enthusiasts,"**If you enjoy contemporary art (""art of today"") or modern art (ending in 1970's) exhibitions and ar",https://www.meetup.com/bostonartenthusiasts,Allston,02134,1058,Art & Culture,"Painting, Drawing, Art Galleries, Art, Museum, Photography, Fine Arts, Painting & Sculpture, Contemporary Art, Art Collecting, Visual Arts, Abstract Art, Art Exhibit, Art Museums","Gardner After Hours (ID: 8739306, Date: 2008-09-18T17:30-04:00); South End Open Studios (ID: 8743808, Date: 2008-09-20T12:00-04:00); Cambridge Artists Cooperative 18th Annual Art-to-Wear Show (ID: 8743669, Date: 2008-09-25T17:30-04:00)"
Founders Running Club :: Boston,"We believe that building a better future for everyone requires stronger bonds, deeper connections, a",https://www.meetup.com/founders-running-club-boston,Boston,02108,624,Sports & Fitness,"Running, Founders, Technology Startups, Entrepreneurship, Startup Businesses, Investing, Lean Startup, Decentralized Systems & Applications, Internet Startups, Blockchain, Cryptocurrency, Web 3.0, Professional Networking, Technology, Entrepreneur Networking","9:30 AM /Boston: FRC Inception. 5–10km (3–6 miles) Easy Run + Networking (ID: 294349636, Date: 2023-07-01T09:30-04:00); 9:30 AM /Boston: FRC. 5–10km (3–6 miles) Easy Run + Networking (ID: 294625604, Date: 2023-07-09T09:30-04:00); 9:00 AM /Boston: FRC. 5–10km (3–6 miles) Easy Run + Networking (ID: 294769413, Date: 2023-07-15T09:00-04:00)"
Boston Mensa,<p>This is the official Meetup group of Boston Mensa.&nbsp;Membership in this group is limited to <s,https://www.meetup.com/bostonmensa,Boston,02108,330,Social Activities,"Mensa, Gifted Adults and Children, Gifted Children","Newton Dinner (ID: 14090176, Date: 2010-07-14T18:30-04:00); Strategy SiG (ID: 14089774, Date: 2010-07-15T19:30-04:00); Japanese Dinner (ID: 14090106, Date: 2010-07-16T18:30-04:00)"
Boston Meditation,Meditation is very good. Nowadays people are becoming aware of the importance of meditation. Many hi,https://www.meetup.com/boston-meditation-meetup-group,Boston,02215,715,Health & Wellbeing,"Meditation, Self Exploration, Self-Empowerment, Spirituality, Energy Healing, Sustainability, Motivation & Success, Community Service, Healthy Eating, People Helping People, Improv, Spiritual Awakening","Happiness to Your Mind (ID: 262493305, Date: 2019-06-22T13:00-04:00); Happiness to Your Mind (ID: 262494448, Date: 2019-06-22T13:00-04:00); Happiness to Your Mind (ID: 262542999, Date: 2019-06-29T13:00-04:00)"
boston bronies,"boston brony also has discord:https://discord.gg/U9e2pg5C
Are you a fan of My Little Pony: Friendshi",https://www.meetup.com/meetup-group-kmivgolp,Boston,02108,110,Social Activities,"New In Town, Social Networking, Fun Times, Weekday Actitivies, Friendships, Hanging Out, Local Activities","ironpony lasertag quest (ID: 283582656, Date: 2022-02-16T17:00-05:00); boston bronies february fudruckers lunch meetup. (ID: 283963497, Date: 2022-02-27T12:00-05:00); lets watch a movie- sonic the hedgehog 2 (ID: 285165598, Date: 2022-04-13T19:00-04:00)"
Unicycle Boston,"Unicycle Boston is a unicycling club formed in August 2024 based in the Boston, Massachusetts area. ",https://www.meetup.com/unicycle-boston,Boston,02108,4,Travel & Outdoor,"Recreational Sports, Exercise, Social, Outdoors, Fun Times, Unicycle","Unicycle Basketball (ID: 302905840, Date: 2024-08-22T18:00-04:00); Unicycle Basketball (ID: 302909965, Date: 2024-08-22T18:00-04:00); General Unicycle Meetup (ID: 302910008, Date: 2024-08-31T13:30-04:00)"
Young Single Professionals of Greater Boston,This group is for 20s-30s professionals and singles who want to build connections and expand their n,https://www.meetup.com/boston-science-meetup-group,Boston,02108,8,Technology,"Science, New Technology, Music, Conversation, Live Music, Musicians, Intellectual Discussions, Social",
Boston Vegan Options Advocacy Group,"Welcome to the Boston Veg Options Meetup Group!

Our goal and vision is to encourage the addition of",https://www.meetup.com/boston-veg-advocacy-meetup-group,Boston,02108,45,Movements & Politics,"Animal Rights & Welfare, Vegan, Human Rights, Local Politics, Activism, Political Activism, Animal Advocacy, Advocacy, Vegetarian and Vegan Activism","My Thai Dinner (ID: 299065174, Date: 2024-03-08T19:00-05:00); Egyptian Food + Vegan Options Advocacy (ID: 299065041, Date: 2024-04-06T17:00-04:00); Dinner + Fun at Rhythm and Wraps  (ID: 300664781, Date: 2024-05-04T17:00-04:00)"
Boston Frisbee,<p>Boston Frisbee is a recreational ultimate frisbee pick-up group. Our mission is to introduce ulti,https://www.meetup.com/bostonfrisbee,Boston,02116,5672,Sports & Fitness,"Co-ed Ultimate Frisbee, Nutrition, Exercise, Social, Fun Times, New In Town, Outdoor Fitness, Sports and Recreation, Ultimate Frisbee, Fitness, Park Games","Frisbee on Cambridge Common (ID: 5782964, Date: 2007-05-22T20:00-04:00); Glow in the dark Frisbee on Cambridge Common (ID: 5839813, Date: 2007-06-05T20:00-04:00); Glow in the dark Frisbee on Cambridge Common (ID: 5860276, Date: 2007-06-19T20:00-04:00)"
Boston Area American Sign Language Meetup,"<p>We are a group of Deaf, Hard of Hearing, and Signers who meet every week to chat in American Sign",https://www.meetup.com/bostonareaasl,Cambridge,02140,2260,Identity & Language,"Sign Languages, Deaf & Hard of Hearing, ASL Sign Languages","First Meetup (ID: 8999631, Date: 2008-11-09T13:00-05:00); Meetup, Hard of Hearing and ASL practice (ID: 9190104, Date: 2008-11-30T12:00-05:00); HoH\/Sign Language practice (ID: 9262187, Date: 2008-12-14T11:00-05:00)"
Boston Connection and Art,"<p>We're a group that aims to connect people together in any way, including art.</p>",https://www.meetup.com/boston-connection-and-art,Boston,02108,1564,Health & Wellbeing,"Life Transformation, Self-Empowerment, Self-Help & Self-Improvement, Creativity, Dancing, Dining Out, Sketching, Writing, Adventure, Social Networking, Creative Circle, Art, New In Town, Social","Where we are and where we want to be (ID: 259773916, Date: 2019-06-01T14:00-04:00); Improving our Social Connections for a Better Self, Better World (ID: 261973531, Date: 2019-06-08T16:00-04:00); Where we are and where we want to be (ID: 262541549, Date: 2019-06-23T14:00-04:00)"
Boston Volleyball Group,"Play indoor/grass/beach volleyball in the Boston area, and meet other volleyball players!

We play o",https://www.meetup.com/volleyball-122,Cambridge,02139,4994,Sports & Fitness,"Volleyball, Beach Volleyball, Outdoor Volleyball, Volleyball Social, Indoor Volleyball, Co-ed Beach Volleyball, Grass Volleyball","The Boston 2s Beach/Grass Volleyball Meetup (ID: 6070865, Date: 2007-07-28T11:00-04:00); The Boston 2s Beach/Grass Volleyball Meetup (ID: 6070866, Date: 2007-08-04T11:00-04:00); The Boston 2s Beach/Grass Volleyball Meetup (ID: 6070867, Date: 2007-08-11T11:00-04:00)"
Explorer Chicks of Boston,"Looking for a community of adventure loving, boundary pushing, encouraging women to explore the worl",https://www.meetup.com/explorer-chicks-of-boston,Boston,02108,3180,Travel & Outdoor,"Hiking, Outdoors, Fun Times, Outdoor Fitness, Adventure, International Travel, Weekend Adventures, Adventure Travel, Weekend Getaways","Virginia Hiking and Survival 101 (ID: 260249661, Date: 2019-04-25T19:00-04:00); Moab Hiking and Multi-Sport Adventure (ID: 260669158, Date: 2019-05-05T14:00-04:00); Smoky Mountain Hiking and Glamping (ID: 260251106, Date: 2019-05-16T19:00-04:00)"
Boston English House,Let's speak English! Learn conversational English including functional language (i.e. agreeing and d,https://www.meetup.com/boston-english-house,Boston,02108,670,Identity & Language,"Learning, Practice English, International Friends, English as a Second Language, English, ESL practice, Language Exchange","English Chat/Meet and Greet-TRAVEL (ID: 289163387, Date: 2022-10-22T10:00-04:00); English Chat/Meet and Greet-RESTAURANTS & DINING (ID: 289163414, Date: 2022-10-29T10:00-04:00); ESL Coffee Hour/Language for Agreeing and Disagreeing (ID: 289139675, Date: 2022-11-05T14:00-04:00)"
Boston Pink Pistols,"<p>We are dedicated to the legal, safe, and responsible use of firearms for self-defense of the sexu",https://www.meetup.com/boston-pink-pistols,Boston,02108,881,Identity & Language,"Gay, LGBT, LGBT Social, Gun Safety, Transgender, Target Shooting, Conversation, Community Building, Friends & Supporters of LGBT/GLBT, Boston, Firearm Safety, Bisexual Femme, Firearms Training, Defensive Firearms Training","monthly Pink Pistols brunch (ID: 243015995, Date: 2017-09-09T11:30-04:00); monthly Pink Pistols brunch (ID: 243016001, Date: 2017-09-09T11:30-04:00); monthly Pink Pistols range session (ID: 243016104, Date: 2017-09-09T14:00-04:00)"
Boston Mastermind Club,"Boston Mastermind Club is a group of Masterminds, Go Getters and Achievers who are committed to self",https://www.meetup.com/boston-mastermind-club,Boston,02108,4352,Social Activities,"Financial Freedom, Money, Think and Grow Rich, Passive Income, Law of Attraction, Meditation, Career Coaching, Life Coaching, Teachings of Neville Goddard, Success Mindset, Personality Development, Business Growth, Startup Businesses, Business Networking International (BNI), Technology Startups","Boston Salsa Dancing Partners Networking Event  (ID: 269298749, Date: 2020-03-12T17:00-04:00); Boston Salsa Dancing Partners Networking Event  (ID: 269298750, Date: 2020-03-12T17:00-04:00); Find a Travel Buddy in Boston  (ID: 269298735, Date: 2020-03-14T18:00-04:00)"
Boston International/Arthouse Movie Meetup Group,"<p><span>As you've probably figured out, since theaters went dark in March, your Classic/Indie Movie",https://www.meetup.com/boston-international-arthouse-movie-meetup-group,Boston,02108,544,Hobbies & Passions,"Watching Movies, Indie Film, Arthouse","Iron Island (ID: 5085711, Date: 2006-08-26T14:00-04:00); Wild Bees from the Czech Republic (ID: 5085950, Date: 2006-08-31T18:00-04:00); Return of the Idiot (ID: 5098873, Date: 2006-09-02T15:00-04:00)"
The Boston Stitches,"Bring your knitting, cross stitching, crochet, embroidery or hand sewing project to this merry bunch",https://www.meetup.com/the-boston-stitches,Belmont,02478,460,Hobbies & Passions,"Cross Stitch, Coffee/Tea While Knitting, Sewing, Knitting for Beginners, Stitching, Quilting, Knitting, Crochet, Social Crochet, Intermediate and Advanced Knitters, Yarn, Needlework, Crafts, Handmade Crafts, Knitter's Social","The Boston Stitches (ID: 289650759, Date: 2022-11-13T13:00-05:00); The Boston Stitches🧵🧶🪡💫 (ID: 289650810, Date: 2022-11-13T13:00-05:00); The Boston Stitches (ID: 289703970, Date: 2022-11-20T13:00-05:00)"
Boston Late Risers,"<p>Hey Late Risers!</p>
<p>This group is for those who love to do indoor or outdoor events but also ",https://www.meetup.com/boston-late-risers,Boston,02116,4763,Travel & Outdoor,"Walking, Hiking, Board Games, Bicycling, Outdoors","Arnold Arboretum Walk (ID: 22740731, Date: 2011-06-25T13:00-04:00); Arnold Arboretum Walk #2 (ID: 24231271, Date: 2011-07-02T13:00-04:00); Hike and Swim: Breakheart Reservation (ID: 25519941, Date: 2011-07-16T13:00-04:00)"
Boston Real Estate Investors Network - Part Of Boston REIA,<p>The Boston Real Estate Investor Association is an Investor Association for real estate investors ,https://www.meetup.com/boston-real-estate-investors-network,Boston,02108,215,Career & Business,"Investing, Investing for Retirement, Real Estate Networking, Real Estate Foreclosures, Real Estate Investors, Commercial Real Estate, Real Estate Investing, Real Estate, Real Estate Investment Education","Learn How To Invest In Real Estate Tax Free Using an IRA (ID: 233483035, Date: 2016-09-06T18:30-04:00); The Five Things Every New Investor Needs to Know About Working with Partners (ID: 234175166, Date: 2016-10-04T18:30-04:00); Don’t pay uncle sam more of your money! 2016 YEAR END TAX PLANNING (ID: 234933965, Date: 2016-11-01T18:30-04:00)"
Volo Boston,"Originally starting as a 16 person bocce league on Federal Hill in Baltimore, MD, Volo has come a lo",https://www.meetup.com/volo-boston,Boston,02108,1444,Social Activities,"Fitness, New In Town, Social Networking, Wellness, Community Organizations, Social, Fun Times, Outdoor Fitness, Adventure, Weekend Adventures, Sports and Socials, Exercise, Recreational Sports, Singles, Outdoors","Hit The Golf Course - Social Boston Scramble (ID: 243856066, Date: 2017-10-14T12:30-04:00); Get Sweaty! - Sweat Crawl in Allston (ID: 243855917, Date: 2017-10-15T13:00-04:00); Nightmare on Broad Street - Boston's Best Halloween Party! (ID: 243854916, Date: 2017-10-28T21:00-04:00)"
Art Lovers Therapy Boston Meetup Group,"**Are you looking for a creative way to cope with life's challenges?**

Join our *Art Therapy Suppor",https://www.meetup.com/artloverstherapy,Boston,02108,531,Health & Wellbeing,"Self-Help & Self-Improvement, Therapy, Self-Empowerment, Peer Support, Social Anxiety, Depression, Art, Art Therapy, Writing, Artists & Artisans, Creative Arts, Expressive Arts, Anxiety, Depression, and Panic Disorder, Emotional & Mental Wellbeing, Mental Wellness","How to build and sti (ID: 293650884, Date: 2023-05-22T20:00-04:00); How to cope with life  (ID: 293650899, Date: 2023-05-22T20:00-04:00); How to cope with life  (ID: 293650902, Date: 2023-05-22T20:00-04:00)"
Code for Boston,"Code for Boston is a volunteer civic innovation organization created by Boston-area developers, desi",https://www.meetup.com/code-for-boston,Cambridge,02139,7979,Technology,"Data Visualization, Web Development, Software Development, Technology, Open Source, Ruby, Python, JavaScript, Open Government, Civic Engagement, Open Data, Interaction Design, UX Design","Weekly Hack Night (ID: 111647772, Date: 2013-04-02T19:00-04:00); Weekly Hack Night (ID: 111647902, Date: 2013-04-09T19:00-04:00); Downtown Lynn Data Walk (ID: 114010812, Date: 2013-04-13T10:00-04:00)"
Sufi Service Committee (Boston),"<p>We are a nonprofit dedicated to serving the most pressing needs of the community- Hunger, homeles",https://www.meetup.com/sufi-service-committee-boston,Cambridge,02138,106,Community & Environment,"Nonprofit, Hunger Relief, Homeless Outreach, Community Organizations, Volunteering, Community Service, Community Outreach, People Helping People, Charity Events, End Poverty, Feeding the Hungry, Volunteering and Charity Events","Brunch and Clothes Sorting! (ID: 251680042, Date: 2018-06-24T10:00-04:00); Charity Clothing Service Event (ID: 251680323, Date: 2018-06-24T10:00-04:00); Charity Clothing Service Event (ID: 251885941, Date: 2018-06-24T10:00-04:00)"
Kadampa Meditation Center Boston,"**www.meditationinboston.org**

**Kadampa Meditation Center Boston** offers an wide program of medit",https://www.meetup.com/kadampa-meditation-center-boston,Cambridge,02140,1249,Health & Wellbeing,"Transformation, Buddhism, Buddhist Meditation, Meditation, Self-Help & Self-Improvement, Spiritual Growth, Kadampa Buddhism, Mahayana Buddhism, Modern Buddhism, Relaxation, Stress Relief, Spirituality","Finding Happiness from a Different Source (ID: 15139040, Date: 2010-10-21T19:00-04:00); Becoming Peaceful-  1/2 day workshop  (10am - 1pm) (ID: 15337376, Date: 2010-11-06T10:00-04:00); GUIDED MEDITATION: Letting Go of Bad Habits (ID: 15137035, Date: 2010-11-11T19:00-05:00)"
"Boston ""Onyxbirds"" Travel Group","<p>Are you an Onyxbird? ""What's that?"", you ask. That's our term for people of African heritage (i.e",https://www.meetup.com/bostononyxbirds,Boston,02119,817,Social Activities,"African American Women, Travel, Black Professionals, Blackology, Expat Caribbean, African Diaspora, Caribbean Culture","First Boston Onyxbirds Fly-in (a.k.a. First Meetup) (ID: 6944194, Date: 2008-01-25T19:00-05:00); Boston Onyxbirds March Fly-In - The ""Spring Things"" Dinner (ID: 7250257, Date: 2008-03-07T19:00-05:00); Boston Onyxbirds June Fly-In - ""Re Connection"" (ID: 8045550, Date: 2008-06-06T19:00-04:00)"
Free And Cheap Things in Boston,"Welcome to Free And Cheap Things in Boston (aka ""FACT Boston"")!
FACT Boston has two primary objectiv",https://www.meetup.com/fact-boston,Boston,02114,5396,Social Activities,"Singles, Live Music, Social Networking, Fun Times, Social, New In Town, Free Events","Free Cupcakes at BPL 11-3 Today! (ID: 48589802, Date: 2012-01-18T11:00-05:00); Let's meetup and play games! (ID: 48722172, Date: 2012-01-27T18:30-05:00); Lets Meet up and Learn to Swing Dance in Chelmsford, Ma (ID: 48212022, Date: 2012-01-27T19:00-05:00)"
The Boston Beanstalks Tall Club,"We are a social club of people who just happen to be tall.
We meet up and do all sorts of fun stuff",https://www.meetup.com/tall-15,Boston,02119,189,Social Activities,"Tall People, Social Networking, Singles, Social","The Boston Beanstalks Tall Club Anniversary Dance (ID: 5413562, Date: 2007-01-27T21:00-05:00); First Friday in February at the Newton Marriott (ID: 5413666, Date: 2007-02-02T18:00-05:00); First Friday in March at the Newton Marriott (ID: 5431254, Date: 2007-03-02T18:00-05:00)"
Free And Cheap Things in Boston,"Welcome to Free And Cheap Things in Boston (aka ""FACT Boston"")!
FACT Boston has two primary objectiv",https://www.meetup.com/fact-boston,Boston,02114,5396,Social Activities,"Singles, Live Music, Social Networking, Fun Times, Social, New In Town, Free Events","Free Cupcakes at BPL 11-3 Today! (ID: 48589802, Date: 2012-01-18T11:00-05:00); Let's meetup and play games! (ID: 48722172, Date: 2012-01-27T18:30-05:00); Lets Meet up and Learn to Swing Dance in Chelmsford, Ma (ID: 48212022, Date: 2012-01-27T19:00-05:00)"
"Boston ""Onyxbirds"" Travel Group","<p>Are you an Onyxbird? ""What's that?"", you ask. That's our term for people of African heritage (i.e",https://www.meetup.com/bostononyxbirds,Boston,02119,817,Social Activities,"African American Women, Travel, Black Professionals, Blackology, Expat Caribbean, African Diaspora, Caribbean Culture","First Boston Onyxbirds Fly-in (a.k.a. First Meetup) (ID: 6944194, Date: 2008-01-25T19:00-05:00); Boston Onyxbirds March Fly-In - The ""Spring Things"" Dinner (ID: 7250257, Date: 2008-03-07T19:00-05:00); Boston Onyxbirds June Fly-In - ""Re Connection"" (ID: 8045550, Date: 2008-06-06T19:00-04:00)"
The Boston Beanstalks Tall Club,"We are a social club of people who just happen to be tall.
We meet up and do all sorts of fun stuff",https://www.meetup.com/tall-15,Boston,02119,189,Social Activities,"Tall People, Social Networking, Singles, Social","The Boston Beanstalks Tall Club Anniversary Dance (ID: 5413562, Date: 2007-01-27T21:00-05:00); First Friday in February at the Newton Marriott (ID: 5413666, Date: 2007-02-02T18:00-05:00); First Friday in March at the Newton Marriott (ID: 5431254, Date: 2007-03-02T18:00-05:00)"
Boston Random Acts of Connection,Welcome to the ground floor of this new endeavor. My name is Cesar and after the pandemic I realized,https://www.meetup.com/boston-random-acts-of-connection,Boston,02108,752,Social Activities,"Social, Fun Times, Social Networking, Weekend Getaways, New In Town, Make New Friends, Conversation, Weekend Adventures","Make Connections at Bow Market (ID: 302835139, Date: 2024-08-17T18:30-04:00); Free Waterfront Vinyl Nights at ICA Boston (ID: 302897311, Date: 2024-08-23T18:30-04:00); Poetry Open Mic (ID: 302897480, Date: 2024-08-25T18:30-04:00)"
Boston Electronic Dance Music,**House + Techno + Trance + Electro + Minimal + Industrial + Psychedelic + Chiptune + Synth + everyt,https://www.meetup.com/bostonedm,Boston,02215,3496,Music,"Electronic Dance Music, Raves, DJs, House Music, Electronic Music, Music, Nightlife, Singles Dancing, Live Music, Trance Music, Deep House Music, Dancing, Clubbing","Boston House Music's fist meetup!  Paul Oakenfold at Estate! (ID: 7243487, Date: 2008-03-14T21:00-04:00); Tiesto at Estate!! (ID: 7785787, Date: 2008-06-18T22:30-04:00); Booka Shade at the Middle East (ID: 8310335, Date: 2008-07-29T19:00-04:00)"
Pagans & Witches in Greater Boston,"**Welcome & Well Met!**

**""Pagans & Witches in Greater Boston"" is the meetup.com page of the Cornuc",https://www.meetup.com/pagans-witches-in-greater-boston,Malden,02148,2613,Religion & Spirituality,"Wiccan Training, Pagan Fellowship, Witches & Witchcraft, Pagan, Metaphysics, Goddess, Wiccan, Spirituality, Magick, Wiccan Fellowship, Pagans & Witches, Earth-Based Spirituality, Metaphysics and Astrology, Wicca & Witchcraft Training, Astrology","Community Gathering Meeting (ID: 219832914, Date: 2015-02-21T16:00-05:00); Full Moon Ritual (ID: 220721006, Date: 2015-03-05T18:00-05:00); Spring Equinox Ritual (ID: 220969450, Date: 2015-03-22T19:30-04:00)"
Boston Social Ping Pong,Let's get together to play table tennis and socialize in a lively atmosphere. If you've ever enjoyed,https://www.meetup.com/boston-social-ping-pong,Boston,02114,1550,Sports & Fitness,"Ping Pong, Table Tennis, Sports and Recreation, Fun Times, Sports and Socials, Social Sports, Ping Pong for Singles, Recreational Sports, Intermediate Table Tennis","play table tennis, have lunch, socialize, enjoy (ID: 246497475, Date: 2018-01-13T12:00-05:00); play table tennis, have lunch, socialize, enjoy (ID: 246497595, Date: 2018-01-13T12:00-05:00); play table tennis, have lunch, socialize, enjoy (ID: 246497694, Date: 2018-01-13T12:00-05:00)"
